tid,toi,pl_orbper,pl_tranmid,tfopwg_disp
254113311,1130.01,8.34998,2460144.137122,CP
254113311,1130.02,4.0686405,2460126.924264,CP
198213332,1131.01,0.5860366,2458711.595435,PC
267489265,1132.01,1.5502952,2460351.800169,FP
69997672,1133.01,1.80709,2458684.2349,FP
122220263,1134.01,18.6922101,2460333.437983,FP
154872375,1135.01,8.0277326,2460658.97426,CP
142276270,1136.01,12.5187279,2459612.447691,CP
142276270,1136.02,6.2586065,2460366.026514,CP
142276270,1136.03,26.3208756,2459594.183463,CP
142276270,1136.04,18.795547,2458697.755807,CP
89389197,1137.01,1.3206356,2459770.240602,PC
110428269,1138.01,0.64971,2458684.20504,FP
202563254,1139.01,4.4780798,2460549.445856,PC
25155310,114.01,3.2887898,2458327.519958,KP
320525204,1140.01,13.7431084,2460637.861679,FP
159510109,1141.01,16.9487087,2460289.874408,FP
284450803,1142.01,3.3686634,2460335.937572,FP
160268701,1143.01,11.2071839,2460352.734057,FP
28230919,1144.01,4.8878037,2460554.347022,KP
350995812,1145.01,2.97164,2458685.81643,FP
21755546,1146.01,0.660179,2459420.415267,FP
288391628,1147.01,10.9278415,2460331.315598,FP
349827430,1148.01,5.5514888,2460361.366521,KP
117789567,1149.01,2.3202418,2459770.330784,APC
281541555,115.01,4.7423709,2458329.903155,KP
16740101,1150.01,1.4810903,2458683.457596,KP
69679391,1151.01,3.4741012,2460337.986375,KP
237184773,1152.01,6.5011911,2459392.715052,FA
154840461,1153.01,6.0360758,2460472.256051,APC
459970307,1154.01,21.745537,2460339.328709,PC
161450762,1155.01,1.32003,2458683.92594,FP
117256577,1156.01,1.6865822,2459443.850453,FP
147576037,1157.01,13.0727479,2459603.765773,FP
379931600,1158.01,2.9258727,2459446.175877,FP
48188920,1159.01,0.73774,2458683.94707,FP
238176110,116.01,2.7985802,2458326.688916,KP
89510024,1160.01,2.3664127,2459446.146751,FP
158324245,1161.01,1.7635881,2460556.484069,KP
13419950,1162.01,7.3166682,2460544.815606,PC
375542276,1163.01,3.0771612,2459441.801256,PC
16102323,1164.01,3.2077145,2459822.312844,FP
458478250,1165.01,2.2552845,2460352.823449,KP
138361973,1166.01,1.8824539,2460556.103196,FP
232967666,1167.01,15.196,2458689.11633,FP
41330864,1168.01,2.1358631,2460363.632024,FP
302518439,1169.01,6.7075429,2460323.760513,PC
322307342,117.01,3.5862962,2459063.655791,KP
294176967,1170.01,1.8296155,2460556.995021,FP
101929303,1171.01,11.1876137,2460541.381489,FP
1717732429,1172.01,7.8513949,2460634.945689,FP
232967440,1173.01,7.0643978,2460341.784305,CP
154089169,1174.01,8.9534775,2460355.403307,CP
